"학교명","학교급","주소"
"부일전자디자인고등학교","고등학교","부산광역시 사하구 감천로73번길 36"
"천천중학교","중학교","경기도 수원시 장안구 정자로42번길 16"
"송학중학교","중학교","충청북도 제천시 송학면 송학로5길 7"
"일산양일중학교","중학교","경기도 고양시 일산동구 위시티3로 47"
"남면초등학교","초등학교","경기도 양주시 남면 개나리18길 100"
"담양남초등학교","초등학교","전라남도 담양군 담양읍 지침5길 14"
"내양초등학교","초등학교","경기도 구리시 동구릉로 485"
"남양주월문초등학교","초등학교","경기도 남양주시 와부읍 수레로 519"
"남양주양지초등학교","초등학교","경기도 남양주시 오남읍 진건오남로808번길 20-37"
"거제여자상업고등학교","고등학교","경상남도 거제시 거제면 동상3길 21"
"경북과학고등학교","고등학교","경상북도 포항시 남구 지곡로 130"
"위례중앙중학교","중학교","경기도 성남시 수정구 위례순환로 91"
"백운호수초등학교","초등학교","경기도 의왕시 백운중앙로 67"
"새봄초등학교","초등학교","경기도 화성시 병점노을로 19"
"조치원중학교","중학교","세종특별자치시 조치원읍 대첩로 90"
"남양주신촌초등학교","초등학교","경기도 남양주시 평내로 122"
"인천청호중학교","중학교","인천광역시 서구 청라한울로 44"
"복사초등학교","초등학교","경기도 부천시 소사구 은성로 210"
"밀양고등학교","고등학교","경상남도 밀양시 약산로 15"
"전주자연초등학교","초등학교","전북특별자치도 전주시 덕진구 세병로 150"
"양운중학교","중학교","부산광역시 해운대구 좌동순환로99번길 7"
"평택모산초등학교","초등학교","경기도 평택시 지제동삭1로 175"
"외포초등학교","초등학교","경상남도 거제시 장목면 외포5길 7"
"회암초등학교","초등학교","경기도 양주시 옥정서로5길 27-3"
"구지초등학교","초등학교","경기도 구리시 건원대로76번길 40"
"항동중학교","중학교","서울특별시 구로구 연동로 239-2"
"대전교촌초등학교","초등학교","대전광역시 유성구 진잠로149번길 42"
"한가람초등학교","초등학교","경기도 파주시 금바위로 87"
"연풍초등학교","초등학교","경기도 파주시 파주읍 연풍초교길 25"
"심학초등학교","초등학교","경기도 파주시 교하로681번길 33"
"목암초등학교","초등학교","경기도 고양시 덕양구 푸른마을로 63"
"이사벨중학교","중학교","부산광역시 연제구 중앙대로 1197"
"백석중학교","중학교","경기도 고양시 일산동구 호수로 404"
"영광군남중학교","중학교","전라남도 영광군 군남면 포천길 13"
"관양고등학교","고등학교","경기도 안양시 동안구 일동로 115"
"동양초등학교","초등학교","경상북도 봉화군 봉성면 다덕로 523-14"
"마정초등학교","초등학교","경기도 파주시 문산읍 마정로124번길 13"
"서울영상고등학교","고등학교","서울특별시 양천구 목동로11길 46"
"솔빛중학교","중학교","경기도 화성시 동탄반석로 83"
"해남중학교","중학교","전라남도 해남군 해남읍 중앙1로 225"
"봉곡중학교","중학교","경상남도 창원시 의창구 봉곡로23번길 6"
"대부고등학교","고등학교","경기도 안산시 단원구 대부중앙로 3"
"수택초등학교","초등학교","경기도 구리시 검배로136번길 41"
"개운초등학교","초등학교","울산광역시 남구 두왕로 106"
"주양초등학교","초등학교","부산광역시 사상구 백양대로 372-6"
"문산초등학교","초등학교","경기도 파주시 문산읍 문향로67번길 58"
"신능초등학교","초등학교","경기도 고양시 덕양구 충장로123번길 37"
"성신초등학교","초등학교","경기도 고양시 덕양구 성신로 104"
"백마초등학교","초등학교","경기도 고양시 일산동구 일산로 230"
"안산공업고등학교","고등학교","경기도 안산시 상록구 안산공고로 51"
"경기모바일과학고등학교","고등학교","경기도 안산시 상록구 남산평길 35"
"성호고등학교","고등학교","경기도 오산시 동부대로436번길 46"
"신명여자중학교","중학교","대구광역시 수성구 신천동로 364"
"반송초등학교","초등학교","경상남도 창원시 성산구 반송로 133"
"여도중학교","중학교","전라남도 여수시 상암로 7"
"화봉초등학교","초등학교","경기도 남양주시 진접읍 해밀예당2로 21"
