"학교명","학교급","주소"
"대영중학교","중학교","서울특별시 영등포구 도림로80가길 14"
"영천초등학교","초등학교","광주광역시 광산구 목련로 123"
"서울인수초등학교","초등학교","서울특별시 강북구 인수봉로 269"
"웅천중학교","중학교","경상남도 창원시 진해구 웅천동로 55"
"신도중학교","중학교","서울특별시 은평구 진관1로 77-30"
"명호중학교","중학교","부산광역시 강서구 명지오션시티2로 100"
"삼일여자고등학교","고등학교","울산광역시 남구 두왕로190번길 59"
"인창고등학교","고등학교","서울특별시 서대문구 경기대로 65"
"석관중학교","중학교","서울특별시 성북구 한천로 526"
"김천석천중학교","중학교","경상북도 김천시 남산공원길 128"
"혜원여자중학교","중학교","서울특별시 중랑구 봉우재로58길 39"
"인천안산초등학교","초등학교","인천광역시 계양구 임학서로 15"
"여수아리울중학교","중학교","전라남도 여수시 관문1길 29"
"주례중학교","중학교","부산광역시 사상구 가야대로378번길 68"
"영광초등학교","초등학교","전라남도 영광군 영광읍 중앙로 216-7"
"한국게임과학고등학교","고등학교","전북특별자치도 완주군 운주면 대둔산로 1336"
"대사초등학교","초등학교","부산광역시 강서구 낙동북로 73번길 29"
"장파초등학교","초등학교","경기도 파주시 파평면 장마루5길 11"
"목포영산초등학교","초등학교","전라남도 목포시 남악1로16번길 25"
"여수충무고등학교","고등학교","전라남도 여수시 미평7길 16"
"하점초등학교","초등학교","인천광역시 강화군 하점면 강화대로 1190"
"개림초등학교","초등학교","부산광역시 부산진구 백양대로320번길 40"
"배화여자중학교","중학교","서울특별시 종로구 필운대로1길 34"
"유성중학교","중학교","대전광역시 유성구 상대로 33"
"광남중학교","중학교","서울특별시 광진구 아차산로70길 17-62"
"전주풍남중학교","중학교","전북특별자치도 전주시 완산구 거마평로 83"
"전주북초등학교","초등학교","전북특별자치도 전주시 덕진구 소리로 180"
"전인고등학교","고등학교","강원특별자치도 춘천시 동산면 새술막길 630"
"대양초등학교","초등학교","경기도 화성시 남양읍 시청로32번길 80"
"인천재능고등학교","고등학교","인천광역시 동구 재능로 178"
"예당중학교","중학교","경기도 화성시 노작로 226-35"
"광주지산초등학교","초등학교","광주광역시 북구 하서로 637"
"전주서문초등학교","초등학교","전북특별자치도 전주시 완산구 서신천변11길 19"
"만경여자고등학교","고등학교","전북특별자치도 김제시 만경읍 만경로 823"
"양지고등학교","고등학교","경기도 안산시 단원구 화정천동로 50"
"서울북한산초등학교","초등학교","서울특별시 은평구 대서문길 42-3"
"구암고등학교","고등학교","서울특별시 관악구 성현로 57"
"묵계초등학교","초등학교","경상남도 하동군 청암면 청학로 2220"
"신풍초등학교","초등학교","전라남도 여수시 율촌면 여순로 435-4"
"옥현중학교","중학교","울산광역시 남구 문수로75번길 18"
"하이초등학교","초등학교","경상남도 고성군 하이면 남일로 423"
"일산국제컨벤션고등학교","고등학교","경기도 고양시 일산서구 고봉로 133"
"인천신정초등학교","초등학교","인천광역시 연수구 아트센터대로97번길 72"
"진교초등학교","초등학교","경상남도 하동군 진교면 민다리길 141"
"광주화정초등학교","초등학교","광주광역시 서구 월드컵4강로146번길 10"
"목포중앙초등학교","초등학교","전라남도 목포시 청호로 11"
"영동중학교","중학교","서울특별시 서초구 성촌길 14"
"부천중학교","중학교","경기도 부천시 원미구 심중로75번길 64"
"제주동초등학교","초등학교","제주특별자치도 제주시 동문로 65"
"함덕고등학교","고등학교","제주특별자치도 제주시 조천읍 신흥로 9"
"백석초등학교","초등학교","전북특별자치도 김제시 백산로 54"
"수성중학교","중학교","경기도 수원시 장안구 수성로363번길 2"
"여산고등학교","고등학교","전북특별자치도 익산시 여산면 가람로 465"
"대구율원초등학교","초등학교","대구광역시 동구 율하동로 55"
"덕계초등학교","초등학교","경기도 양주시 평화로1489번길 29"
"대구세천초등학교","초등학교","대구광역시 달성군 다사읍 세천로 182-9"
"언양고등학교","고등학교","울산광역시 울주군 언양읍 언양로 53"
"면목중학교","중학교","서울특별시 중랑구 용마산로70길 37"
"신흥초등학교","초등학교","경기도 군포시 고산로 470"
"김해대청고등학교","고등학교","경상남도 김해시 번화1로 7"
"진부중학교","중학교","강원특별자치도 평창군 진부면 솔천길 69"
"처인고등학교","고등학교","경기도 용인시 처인구 남사읍 한숲로 32"
"대흥초등학교","초등학교","경상남도 고성군 대가면 대가로 443-18"
"팔룡초등학교","초등학교","경상남도 창원시 마산회원구 학교단지로 31"
"솔터고등학교","고등학교","경기도 김포시 김포한강7로22번길 109"
"언양초등학교","초등학교","울산광역시 울주군 언양읍 북문8길 49"
"북촌초등학교","초등학교","제주특별자치도 제주시 조천읍 일주동로 1481"
"대전신계중학교","중학교","대전광역시 서구 복수동로 40-30"
"장호원중학교","중학교","경기도 이천시 장호원읍 샘재로 27-15"
"전주효자초등학교","초등학교","전북특별자치도 전주시 완산구 송정로 47"
"길원여자고등학교","고등학교","경상북도 안동시 퇴계로 250"
"동광산업과학고등학교","고등학교","강원특별자치도 고성군 토성면 백촌길 30-15"
"지평선중학교","중학교","전북특별자치도 김제시 성덕면 성동길 183-4"
"대구월성초등학교","초등학교","대구광역시 달서구 학산로7길 26"
"예림초등학교","초등학교","경상남도 밀양시 상남면 밀양대로 1524"
"원화여자고등학교","고등학교","대구광역시 달서구 당산로30길 30"
"동해중학교","중학교","부산광역시 동래구 시실로 19-39"
"한별고등학교","고등학교","전북특별자치도 완주군 삼례읍 충혼안길 20"
"한별중학교","중학교","경기도 남양주시 별내4로 70"
"양정고등학교","고등학교","서울특별시 양천구 안양천로 1039"
"제주제일고등학교","고등학교","제주특별자치도 제주시 진군길 22"
"두실초등학교","초등학교","부산광역시 금정구 중앙대로1893번길 33"
"서울태릉초등학교","초등학교","서울특별시 노원구 노원로1길 36"
"잠일고등학교","고등학교","서울특별시 송파구 백제고분로 21"
"성암여자중학교","중학교","서울특별시 강북구 도봉로29길 52"
"금천고등학교","고등학교","충청북도 청주시 상당구 호미로233번길 65"
"남원주초등학교","초등학교","강원특별자치도 원주시 늘품로 28"
"대전중앙중학교","중학교","대전광역시 중구 대종로 634"
"청량고등학교","고등학교","서울특별시 동대문구 왕산로 303"
"부림중학교","중학교","경기도 안양시 동안구 달안로 95"
"광남고등학교","고등학교","서울특별시 광진구 아차산로70길 17-16"
"대원외국어고등학교","고등학교","서울특별시 광진구 용마산로22길 26"
"죽왕초등학교","초등학교","강원특별자치도 고성군 죽왕면 송지호로 6"
"청평고등학교","고등학교","경기도 가평군 청평면 강변나루로40번길 23"
"둔대초등학교","초등학교","경기도 군포시 호수로 305-14"
"내동중학교","중학교","경기도 부천시 오정구 삼작로108번길 53"
"감곡초등학교","초등학교","충청북도 음성군 감곡면 장감로 207"
"영광공업고등학교","고등학교","전라남도 영광군 영광읍 월현로 34"
"서울동답초등학교","초등학교","서울특별시 동대문구 답십리로60길 12"
"반송여자중학교","중학교","부산광역시 해운대구 운봉길 113"
"경안중학교","중학교","경상북도 안동시 경동로 205-33"
"동암초등학교","초등학교","경기도 의정부시 장곡로 206"
"안성고등학교","고등학교","전북특별자치도 무주군 안성면 구량천로 147"
"제주서중학교","중학교","제주특별자치도 제주시 일주서로 7811"
"어정중학교","중학교","경기도 용인시 기흥구 동백죽전대로527번길 83"
"천안신촌초등학교","초등학교","충청남도 천안시 동남구 신촌4로 9"
"홍성여자중학교","중학교","충청남도 홍성군 홍성읍 도청대로 29-21"
"동신초등학교","초등학교","경기도 안성시 보개면 사갑뜰길 6"
"학성초등학교","초등학교","강원특별자치도 원주시 치악로 2009-9"
"부석고등학교","고등학교","충청남도 서산시 부석면 무학로 1180-9"
"김제여자고등학교","고등학교","전북특별자치도 김제시 중앙로 193"
"가남초등학교","초등학교","경기도 여주시 가남읍 태평4길 2"
"청암초등학교","초등학교","경기도 파주시 청암로 16"
"송산중학교","중학교","충청남도 당진시 송산면 도문로 48"
"남관초등학교","초등학교","전북특별자치도 완주군 상관면 마자길 7"
"안동용상초등학교","초등학교","경상북도 안동시 경동로 900"
"잠신중학교","중학교","서울특별시 송파구 잠실로 12"
"화동중학교","중학교","강원특별자치도 정선군 화암면 그림바위길 50"
"서울덕암초등학교","초등학교","서울특별시 노원구 덕릉로112길 68"
"선일초등학교","초등학교","경기도 안산시 단원구 선이로3길 40"
"금산산업고등학교","고등학교","충청남도 금산군 금산읍 진악로 1003"
"다산새봄중학교","중학교","경기도 남양주시 다산순환로 435"
"능평초등학교","초등학교","경기도 광주시 창뜰아랫길 14-3"
"광주수피아여자중학교","중학교","광주광역시 남구 백서로 13"
"평촌중학교","중학교","경기도 안양시 동안구 관평로 127"
"영해중학교","중학교","경상북도 영덕군 영해면 예주길 135"
"문정초등학교","초등학교","광주광역시 북구 대천로169번길 7"
"심인고등학교","고등학교","대구광역시 달성군 다사읍 대실역남로1길 5"
"서울영서초등학교","초등학교","서울특별시 구로구 도림로20길 57"
"이포고등학교","고등학교","경기도 여주시 흥천면 이여로 1075"
"대전둔천초등학교","초등학교","대전광역시 서구 만년로 3"
"걸포초등학교","초등학교","경기도 김포시 걸포로 22"
"명정초등학교","초등학교","울산광역시 중구 명난로 115"
"성연중학교","중학교","충청남도 서산시 성연면 성연로 210-4"
"문백초등학교","초등학교","충청북도 진천군 문백면 봉죽길 22"
"부림초등학교봉수분교장","초등학교","경상남도 의령군 봉수면 한지9길 6"
"울진초등학교","초등학교","경상북도 울진군 울진읍 울진중앙로 143"
"대구학산초등학교","초등학교","대구광역시 달서구 월성로 76"
"성산고등학교","고등학교","대구광역시 달서구 새방로7길 33"
"가례초등학교","초등학교","경상남도 의령군 가례면 가례로 128"
"이리북초등학교","초등학교","전북특별자치도 익산시 인북로58길 11"
"경상국립대학교사범대학부설고등학교","고등학교","경상남도 진주시 가좌길29번길 63"
"이일여자중학교","중학교","전북특별자치도 익산시 평동로7길 30"
"수완고등학교","고등학교","광주광역시 광산구 장덕로 155"
"돌산중학교","중학교","전라남도 여수시 돌산읍 돌산로 1197"
"대정여자고등학교","고등학교","제주특별자치도 서귀포시 대정읍 대한로88번길 82-22"
"장산초등학교","초등학교","광주광역시 남구 회서로 27"
"대전문정중학교","중학교","대전광역시 서구 둔산북로 232-11"
"인천영종초등학교금산분교장","초등학교","인천광역시 중구 백운로414번길 63-50"
"손곡초등학교","초등학교","경기도 용인시 수지구 손곡로 68"
"나산실용예술중학교","중학교","전라남도 함평군 나산면 함장로 2441-96"
"부여중학교","중학교","충청남도 부여군 부여읍 석탑로 14"
"삼랑진중학교","중학교","경상남도 밀양시 삼랑진읍 만어로 16"
"화명중학교","중학교","부산광역시 북구 금곡대로186번길 13"
"창녕고등학교","고등학교","경상남도 창녕군 대지면 우포2로 1180-20"
"구덕고등학교","고등학교","부산광역시 사상구 학감대로 81"
"미산중학교","중학교","충청남도 보령시 미산면 판미로 1462-7"
"단성중학교","중학교","경상남도 산청군 단성면 강누방목로 2"
"대명중학교","중학교","충청남도 보령시 한내로 155"
"서천고등학교","고등학교","충청남도 서천군 서천읍 사곡로43번길 13-16"
"신촌초등학교","초등학교","경기도 고양시 일산서구 후곡로 52"
"거제상문고등학교","고등학교","경상남도 거제시 수양로 29"
"김해삼문고등학교","고등학교","경상남도 김해시 번화1로 127"
"안흥초등학교","초등학교","강원특별자치도 횡성군 안흥면 서동로 1257"
"가운고등학교","고등학교","경기도 남양주시 가운로2길 115"
"문명고등학교","고등학교","경상북도 경산시 경청로230길 30"
"인천원당초등학교","초등학교","인천광역시 서구 원당대로820번길 16"
"서울휘봉초등학교","초등학교","서울특별시 동대문구 장안벚꽃로 309"
"진장중학교","중학교","울산광역시 북구 진장10길 24"
"대구상원고등학교","고등학교","대구광역시 달서구 월배로 241"
"대왕중학교","중학교","서울특별시 강남구 광평로20길 7"
"광주월산초등학교","초등학교","광주광역시 남구 월산로116번길 6"
"청일초등학교","초등학교","강원특별자치도 횡성군 청일면 청정로 795"
"김포한가람중학교","중학교","경기도 김포시 김포한강9로 140"
"연천중학교","중학교","경기도 연천군 연천읍 연천로336번길 13"
"공도중학교","중학교","경기도 안성시 공도읍 공도로 115-12"
"경북체육중학교","중학교","경상북도 경산시 경안로 43"
"서울전동초등학교","초등학교","서울특별시 동대문구 전농로16길 61"
"소담초등학교","초등학교","세종특별자치시 소담1로 35"
"물야중학교","중학교","경상북도 봉화군 물야면 오록4길 11"
"대구태현초등학교","초등학교","대구광역시 북구 태전로 95"
"소야초등학교","초등학교","강원특별자치도 속초시 배움터길 42"
"창원대산고등학교","고등학교","경상남도 창원시 의창구 대산면 진산대로 378"
"선일빅데이터고등학교","고등학교","서울특별시 은평구 갈현로29길 27"
"분포중학교","중학교","부산광역시 남구 분포로 51"
"천안용곡초등학교","초등학교","충청남도 천안시 동남구 새말1길 73"
"조선대학교부속고등학교","고등학교","광주광역시 동구 의재로33번길 33"
"서울조원초등학교","초등학교","서울특별시 관악구 조원로 67"
"순천인안초등학교","초등학교","전라남도 순천시 순천만길 950"
"외산중학교","중학교","충청남도 부여군 외산면 외산로 55-14"
"고덕초등학교","초등학교","충청남도 예산군 고덕면 황금뜰로 203"
"풍무중학교","중학교","경기도 김포시 유현로33번길 60"
"후포중학교","중학교","경상북도 울진군 후포면 후포로 41"
"충북산업과학고등학교","고등학교","충청북도 옥천군 옥천읍 중앙로 144"
"전북여자고등학교","고등학교","전북특별자치도 전주시 덕진구 여산로 232"
"목포옥암초등학교","초등학교","전라남도 목포시 남악1로52번길 68-3"
"신광초등학교","초등학교","충청남도 아산시 서부북로 993"
"화성신동초등학교","초등학교","경기도 화성시 동탄신동1길 11"
"관대초등학교","초등학교","충청남도 아산시 둔포면 산전길 19"
"부여정보고등학교","고등학교","충청남도 부여군 규암면 충절로2316번길 24"
"조종중학교","중학교","경기도 가평군 조종면 연등윗길 22"
"창호초등학교","초등학교","강원특별자치도 동해시 해맞이길 183"
"화성청계초등학교","초등학교","경기도 화성시 동탄대로시범길 39"
"후포동부초등학교","초등학교","경상북도 울진군 후포면 후포6길 75"
"진잠중학교","중학교","대전광역시 유성구 진잠로 60-23"
"범박고등학교","고등학교","경기도 부천시 소사구 범박로 27-1"
"김해활천초등학교","초등학교","경상남도 김해시 삼안로24번길 7"
"인천용학초등학교","초등학교","인천광역시 미추홀구 용정공원로83번길 9"
"단계초등학교","초등학교","강원특별자치도 원주시 북원로 2387"
"삼어초등학교","초등학교","부산광역시 해운대구 삼어로91번길 73"
"무풍초등학교","초등학교","전북특별자치도 무주군 무풍면 대덕산로 926"
"서울선린초등학교","초등학교","서울특별시 강동구 진황도로61길 29"
"도촌초등학교","초등학교","강원특별자치도 양구군 국토정중앙면 정중앙로 259"
"광주남초등학교","초등학교","광주광역시 동구 지원로5번길 20"
"덕상초등학교","초등학교","부산광역시 사상구 덕상로 32"
"광양제철초등학교","초등학교","전라남도 광양시 마로니에길 48"
"다송중학교","중학교","부산광역시 사하구 다송로 55"
"성보고등학교","고등학교","서울특별시 관악구 남부순환로156길 39"
"송양고등학교","고등학교","경기도 의정부시 송양로 6"
"선린인터넷고등학교","고등학교","서울특별시 용산구 원효로97길 33-4"
"여천고등학교","고등학교","전라남도 여수시 가곡길 63"
"한국호텔관광고등학교","고등학교","충청북도 단양군 단성면 북상하리길 69"
"아라초등학교","초등학교","제주특별자치도 제주시 중앙로 518"
"창명여자중학교","중학교","경기도 여주시 대신면 여양로 1416"
"도성초등학교","초등학교","강원특별자치도 평창군 대관령면 경강로 4177-6"
"만수초등학교","초등학교","충청북도 청주시 흥덕구 오송읍 만수2길 11"
"삼화초등학교","초등학교","강원특별자치도 동해시 파수길 38"
"봉덕초등학교","초등학교","경상남도 창원시 마산회원구 봉덕1길 14"
"서울방산초등학교","초등학교","서울특별시 송파구 오금로27길 42"
"영월고등학교","고등학교","강원특별자치도 영월군 영월읍 오무개길 51"
"남포초등학교","초등학교","충청남도 보령시 남포면 읍성향교길 21"
"예문여자고등학교","고등학교","부산광역시 남구 동명로92번길 76"
"화랑초등학교","초등학교","서울특별시 노원구 화랑로 621"
"인천원동초등학교","초등학교","인천광역시 남동구 논고개로 38"
"청원여자고등학교","고등학교","서울특별시 노원구 한글비석로 506"
"한국나노마이스터고등학교","고등학교","경상남도 밀양시 무안면 신법길 29"
"하성고등학교","고등학교","경기도 김포시 하성면 애기봉로806번길 30"
"송내중앙중학교","중학교","경기도 동두천시 중앙로 78"
"남포중학교","중학교","충청남도 보령시 남포면 야동2길 24"
"서울개봉초등학교","초등학교","서울특별시 구로구 개봉로16길 30-11"
"상천초등학교","초등학교","경기도 가평군 청평면 상천역로19번길 38"
"성내중학교","중학교","서울특별시 강동구 성안로7길 36"
"천안여자중학교","중학교","충청남도 천안시 동남구 원거리11길 31"
"고창북중학교","중학교","전북특별자치도 고창군 부안면 복분자로 788-141"
"울산여자상업고등학교","고등학교","울산광역시 남구 두왕로 304"
"영산초등학교","초등학교","전북특별자치도 정읍시 하북1길 217"
"백산초등학교","초등학교","전북특별자치도 부안군 백산면 백산로 306-7"
"서울의료보건고등학교","고등학교","서울특별시 중구 만리재로37길 30"
"창원용호고등학교","고등학교","경상남도 창원시 성산구 용호로 29"
"팔곡초등학교","초등학교","경기도 안산시 상록구 팔곡두레길 71"
"영화초등학교","초등학교","울산광역시 울주군 언양읍 방천9길 33"
"백양초등학교","초등학교","부산광역시 북구 상리로18번길 12"
"상일미디어고등학교","고등학교","서울특별시 강동구 천호대로219길 61"
"옥동초등학교","초등학교","충청북도 진천군 덕산읍 예지로 43"
"남양주월산초등학교","초등학교","경기도 남양주시 화도읍 경춘로2290번길 50"
"대전원신흥초등학교","초등학교","대전광역시 유성구 원신흥로55번길 37"
"마송중앙초등학교","초등학교","경기도 김포시 통진읍 마송1로 140"
"방기초등학교","초등학교","울산광역시 울주군 삼남읍 하방로 56"
"삼성초등학교","초등학교","강원특별자치도 태백시 평화길 44"
"명지초등학교","초등학교","충청남도 서산시 대산읍 명지3로 25"
"서산부춘중학교","중학교","충청남도 서산시 부춘2로 42"
"통진초등학교","초등학교","경기도 김포시 통진읍 조강로 116"
"봉평초등학교","초등학교","강원특별자치도 평창군 봉평면 기풍8길 22"
"대구동산초등학교","초등학교","대구광역시 수성구 동대구로42길 29"
"제주외국어고등학교","고등학교","제주특별자치도 제주시 애월읍 고성남길 34"
"대림중학교","중학교","서울특별시 영등포구 시흥대로185길 6"
"산흥초등학교","초등학교","대전광역시 동구 산내로 509"
"풍영초등학교","초등학교","광주광역시 광산구 수등로258번길 53"
"홍북중학교","중학교","충청남도 홍성군 홍북읍 홍학로 159"
"탄천중학교","중학교","충청남도 공주시 탄천면 통산로 168"
"평촌과학기술고등학교","고등학교","경기도 안양시 동안구 갈산로 16"
"서울선사초등학교","초등학교","서울특별시 강동구 올림픽로 837"
"천안와촌초등학교","초등학교","충청남도 천안시 서북구 와촌4길 16"
"호계초등학교","초등학교","충청남도 공주시 사곡면 마곡사로 149-12"
"천곡중학교","중학교","울산광역시 북구 고래로 38"
"청신여자중학교","중학교","충청남도 청양군 청양읍 학사길 5-101"
"단성고등학교","고등학교","경상남도 산청군 단성면 강누방목로 2"
"대구동곡초등학교","초등학교","대구광역시 달성군 하빈면 달구벌대로55길 104-4"
"안산초등학교","초등학교","경기도 안산시 상록구 수암2길 13-7"
"중흥고등학교","고등학교","경기도 부천시 원미구 계남로 171"
"서울동자초등학교","초등학교","서울특별시 광진구 뚝섬로 561"
"김포여자중학교","중학교","경기도 김포시 봉화로 37-15"
"금당초등학교","초등학교","경기도 여주시 가남읍 가남로 649"
"대성여자중학교","중학교","광주광역시 남구 서문대로663번길 37"
"마곡초등학교","초등학교","충청남도 공주시 사곡면 운정길 29-10"
"송정초등학교","초등학교","부산광역시 강서구 신호산단4로 10"
"대동여자중학교","중학교","강원특별자치도 횡성군 횡성읍 대동로 28"
"울산경의고등학교","고등학교","울산광역시 울주군 상북면 상북로 248"
"후평초등학교","초등학교","강원특별자치도 춘천시 춘천로295번길 17"
"산북초등학교","초등학교","경기도 양주시 평화로1261번길 96-46"
"상일여자고등학교","고등학교","서울특별시 강동구 천호대로219길 61"
"서농초등학교","초등학교","경기도 용인시 기흥구 서천동로21번길 5"
"청계초등학교","초등학교","경기도 과천시 꿈보람길 34"
"인천현송초등학교","초등학교","인천광역시 연수구 아카데미로312번길 96"
"마산고등학교","고등학교","경상남도 창원시 마산합포구 심온길 33"
"음봉중학교","중학교","충청남도 아산시 음봉면 음봉로 505"
"전북중학교","중학교","전북특별자치도 전주시 덕진구 쪽구름2길 22"
"쌘뽈여자고등학교","고등학교","충청남도 논산시 시민로 411"
"풍산초등학교","초등학교","경기도 고양시 일산동구 숲속마을로 51"
"상장초등학교","초등학교","강원특별자치도 태백시 태백로 1223"
"부산국제중학교","중학교","부산광역시 부산진구 백양관문로 105-70"
"은진초등학교","초등학교","충청남도 논산시 은진면 매죽헌로25번길 1"
"신진과학기술고등학교","고등학교","서울특별시 은평구 은평로6길 16"
"도당고등학교","고등학교","경기도 부천시 원미구 삼작로256번길 53-3"
"솔샘고등학교","고등학교","서울특별시 강북구 인수봉로 39"
"마재초등학교","초등학교","광주광역시 서구 마재로 27"
"건양대학교병설건양고등학교","고등학교","충청남도 논산시 양촌면 황산벌로 486-21"
"논산내동초등학교","초등학교","충청남도 논산시 중앙로 192"
"철성초등학교","초등학교","경상남도 고성군 고성읍 월평로 11"
"신대초등학교","초등학교","충청남도 금산군 복수면 복수로 753"
"당진초등학교","초등학교","충청남도 당진시 교동길 106"
"시흥도원초등학교","초등학교","경기도 시흥시 수인로3413번길 34"
"서울상일초등학교","초등학교","서울특별시 강동구 천호대로 1477"
"도고중학교","중학교","충청남도 아산시 도고면 도고산로 573"
"군산용문초등학교","초등학교","전북특별자치도 군산시 미룡로 32-8"
"은월초등학교","초등학교","울산광역시 북구 당수골23길 7"
"전주금암초등학교","초등학교","전북특별자치도 전주시 덕진구 권삼득로 210"
"신진초등학교","초등학교","부산광역시 기장군 철마면 고촌로28번길 10"
"백운중학교","중학교","서울특별시 도봉구 도봉로129길 50"
"목포백련초등학교","초등학교","전라남도 목포시 연산백련로 40"
"호산고등학교","고등학교","대구광역시 달서구 달서대로109길 86"
"장수중학교","중학교","전북특별자치도 장수군 장수읍 호비로 68"
"외북초등학교","초등학교","경기도 포천시 신북면 포천로 2199"
"안일초등학교백야분교장","초등학교","전라남도 여수시 화정면 백야3길 8-21"
"백학초등학교","초등학교","경기도 연천군 백학면 백학로40번길 23"
"울산미용예술고등학교","고등학교","울산광역시 울주군 웅촌면 학교길 26"
"금과초등학교","초등학교","전북특별자치도 순창군 금과면 신매우1길 11"
"가온중학교","중학교","울산광역시 중구 구교10길 60"
"진산중학교","중학교","충청남도 금산군 진산면 대둔산로 413"
"가야중학교","중학교","경상남도 김해시 경원로 95"
"나래중학교","중학교","경기도 김포시 김포한강9로 19"
"상일초등학교","초등학교","경기도 부천시 원미구 조마루로 57"
"포천일고등학교","고등학교","경기도 포천시 군내면 청군로 3426"
"서울재동초등학교","초등학교","서울특별시 종로구 북촌로4길 7"
"경북드론고등학교","고등학교","경상북도 청도군 풍각면 헐티로 185"
"합천초등학교","초등학교","충청남도 청양군 화성면 무한로 88"
"송림중학교","중학교","경기도 성남시 분당구 이매로 100"
"동해초등학교","초등학교","경상남도 고성군 동해면 동해로 1585"
"창동중학교","중학교","서울특별시 도봉구 방학로 32"
"전주고등학교","고등학교","전북특별자치도 전주시 완산구 권삼득로 2"
"상서중학교","중학교","강원특별자치도 화천군 상서면 평촌길 126-44"
"기린초등학교","초등학교","강원특별자치도 인제군 기린면 기린로 76"
"대전체육고등학교","고등학교","대전광역시 유성구 원신흥로40번길 6"
"변산중학교","중학교","전북특별자치도 부안군 진서면 청자로 921"
"공현진초등학교","초등학교","강원특별자치도 고성군 죽왕면 공현진한옥길 49"
"순창중학교","중학교","전북특별자치도 순창군 순창읍 담순로 1418"
"시흥매화중학교","중학교","경기도 시흥시 매화로 71"
"한림공업고등학교","고등학교","제주특별자치도 제주시 한림읍 한림중앙로 87"
"정읍북초등학교","초등학교","전북특별자치도 정읍시 명덕1길 41"
"현천고등학교","고등학교","강원특별자치도 횡성군 둔내면 경강로 4119"
"염경중학교","중학교","서울특별시 강서구 양천로69길 35"
"중부초등학교","초등학교","경상남도 양산시 양주로 140"
"석정여자고등학교","고등학교","강원특별자치도 영월군 영월읍 영월로 1914-11"
"대전어은초등학교","초등학교","대전광역시 유성구 농대로 46"
"은행중학교","중학교","경기도 성남시 중원구 순환로379번길 20"
"태화중학교","중학교","울산광역시 남구 화합로71번길 24"
"동래고등학교","고등학교","부산광역시 동래구 충렬대로285번길 22"
"김해제일고등학교","고등학교","경상남도 김해시 분성로3번길 105"
"대전둔원고등학교","고등학교","대전광역시 서구 대덕대로 101"
"가곡중학교","중학교","강원특별자치도 삼척시 가곡면 가곡천로 1427"
"양산중학교","중학교","광주광역시 북구 하서로229번길 30"
"임곡중학교","중학교","경기도 안양시 동안구 임곡로 105"
"용인성산초등학교","초등학교","경기도 용인시 처인구 백옥대로1362번길 41"
"대구일중학교","중학교","대구광역시 북구 옥산로17길 21"
"설봉중학교","중학교","경기도 이천시 향교로 117"
"서울마포초등학교","초등학교","서울특별시 마포구 도화2길 64"
"서정초등학교","초등학교","충청남도 당진시 신평면 거산3거리길 28-1"
"군산미장초등학교","초등학교","전북특별자치도 군산시 미장안길 14"
"반곡초등학교","초등학교","충청남도 논산시 양촌면 황산벌로1126번길 5"
"서울대학교사범대학부설초등학교","초등학교","서울특별시 종로구 대학로 64"
"지세포중학교","중학교","경상남도 거제시 일운면 지세포3길 3"
"용지초등학교","초등학교","전북특별자치도 김제시 용지면 용지로 462"
"전주우림초등학교","초등학교","전북특별자치도 전주시 완산구 소태정로 21"
"창원문성고등학교","고등학교","경상남도 창원시 성산구 원이대로 406"
"남하초등학교","초등학교","경상남도 거창군 남하면 영서로 151"
"군산중앙여자고등학교","고등학교","전북특별자치도 군산시 축동2길 27"
"영등포중학교","중학교","서울특별시 동작구 등용로8길 5"
"봉암초등학교","초등학교","경기도 양주시 은현면 삼육사로 473"
"여산중학교","중학교","전북특별자치도 익산시 여산면 가람로 459-10"
"감정중학교","중학교","경기도 김포시 감정로 25"
"용강중학교","중학교","서울특별시 용산구 이촌로65가길 91"
"정지초등학교","초등학교","경기도 안산시 단원구 정지로 57"
"근덕중학교","중학교","강원특별자치도 삼척시 근덕면 삼척로 3700"
"청덕중학교","중학교","경기도 용인시 기흥구 구성1로 23"
"여명중학교","중학교","부산광역시 동래구 여고로52번길 9"
"상품중학교","중학교","경기도 여주시 산북면 상품1길 28"
"중앙여자중학교","중학교","서울특별시 서대문구 북아현로11가길 7"
"칠서초등학교이룡분교장","초등학교","경상남도 함안군 칠서면 삼칠로 1335"
"부암초등학교","초등학교","부산광역시 부산진구 신천대로263번길 26"
"대전가장초등학교","초등학교","대전광역시 서구 가장로 150"
"방어진고등학교","고등학교","울산광역시 동구 학문로 50"
"석문초등학교","초등학교","충청남도 당진시 석문면 다리들길 7"
"청산중학교","중학교","경기도 연천군 청산면 아우라지길 13-32"
"대전둔원중학교","중학교","대전광역시 서구 괴정로11번길 73"
"금산초등학교","초등학교","강원특별자치도 춘천시 서면 금산2길 21"
"범박중학교","중학교","경기도 부천시 소사구 양지남로 69-16"
"하양초등학교","초등학교","경상북도 경산시 하양읍 대학로305길 25"
"증산중학교","중학교","서울특별시 은평구 증산로5길 27-30"
"역동초등학교","초등학교","경기도 광주시 순암로36번길 45"
"서울성일초등학교","초등학교","서울특별시 강동구 성내로15길 33"
"중산초등학교","초등학교","경기도 고양시 일산동구 탄중로 373"
"이천제일고등학교","고등학교","경기도 이천시 애련정로 26"
"서천여자고등학교","고등학교","충청남도 서천군 서천읍 군청로 84"
"자운고등학교","고등학교","서울특별시 도봉구 노해로69길 150"
